ID,STATUS
5003178,C
5003179,X
5003180,C
5003181,C
5003182,C
5003183,0
5003186,X
5003187,C
5003188,C
5003189,C
5003194,0
5003197,C
5003198,X
5003199,C
5003200,X
5003201,C
5003202,X
5003203,C
5003205,C
5003206,X
5003207,C
5003209,0
5003210,X
5003211,C
5003212,0
5003219,0
5003220,C
5003221,X
5003222,X
5003224,C
5003225,C
5003226,C
5003227,C
5003228,X
5003229,C
5003230,C
5003231,X
5003232,C
5003233,C
5003234,C
5003235,C
5003237,X
5003238,X
5003239,0
5003240,0
5003241,0
5003243,C
5003244,0
5003245,0
5003246,0
5003247,C
5003248,C
5003249,X
5003250,X
5003252,C
5003253,C
5003255,X
5003256,C
5003257,C
5003258,C
5003259,C
5003260,C
5003262,C
5003263,C
5003264,C
5003265,C
5003266,C
5003267,C
5003268,X
5003269,X
5003270,X
5003272,C
5003273,C
5003274,C
5003275,C
5003276,C
5003277,0
5003278,0
5003279,C
5003281,X
5003282,0
5003283,X
5003284,C
5003286,C
5003287,C
5003288,C
5003289,0
5003291,C
5003292,X
5003293,X
5003294,C
5003295,C
5003298,C
5003299,C
5003300,C
5003301,C
5003302,C
5003303,C
5003304,0
5003305,C
5003306,C
5003307,0
5003308,C
5003311,C
5003312,C
5003313,0
5003314,X
5003315,X
5003317,C
5003318,C
5003319,C
5003320,0
5003321,X
5003322,X
5003323,X
5003324,X
5003325,X
5003326,X
5003328,C
5003329,C
5003330,0
5003334,C
5003335,C
5003337,C
5003338,0
5003339,C
5003343,X
5003344,0
5003345,C
5003346,X
5003349,0
5003350,C
5003351,X
5003352,C
5003353,X
5003354,C
5003355,C
5003356,C
5003357,C
5003358,C
5003359,C
5003360,X
5003362,C
5003364,C
5003365,C
5003366,C
5003367,C
5003369,C
5003370,C
5003371,C
5003372,C
5003373,C
5003374,0
5003375,X
5003377,C
5003378,0
5003383,C
5003385,C
5003386,0
5003388,0
5003391,X
5003392,C
5003393,0
5003394,0
5003396,C
5003397,0
5003398,C
5003400,X
5003401,C
5003402,0
5003408,C
5003409,X
5003410,C
5003411,0
5003413,X
5003414,X
5003415,X
5003417,C
5003418,0
5003420,X
5003421,0
5003424,1
5003428,C
5003430,C
5003431,C
5003432,X
5003433,C
5003434,X
5003435,X
5003436,C
5003437,C
5003438,C
5003440,C
5003441,0
5003442,0
5003449,0
5003450,C
5003451,X
5003452,X
5003453,0
5003454,0
5003455,X
5003456,C
5003457,0
5003458,C
5003459,C
5003460,C
5003461,C
5003463,0
5003464,C
5003465,C
5003466,X
5003467,C
5003469,C
5003470,C
5003471,C
5003472,C
5003473,C
5003474,C
5003475,X
5003476,X
5003477,C
5003478,X
5003479,C
5003480,C
5003481,X
5003482,C
5003483,X
5003484,C
5003485,X
5003486,0
5003487,C
5003490,C
5003492,X
5003493,C
5003494,C
5003495,C
5003496,C
5003497,0
5003498,C
5003499,C
5003500,C
5003504,C
5003505,C
5003506,C
5003507,C
5003509,C
5003510,0
5003511,0
5003512,0
5003514,C
5003515,C
5003516,C
5003517,C
5003518,C
5003519,C
5003520,0
5003521,C
5003522,X
5003523,C
5003524,C
5003525,C
5003526,C
5003527,C
5003528,C
5003531,X
5003532,X
5003533,X
5003534,X
5003535,C
5003536,0
5003537,X
5003538,0
5003539,C
5003540,C
5003541,C
5003542,C
5003543,C
5003545,X
5003546,X
5003547,X
5003548,X
5003549,0
5003550,0
5003551,C
5003553,X
5003558,C
5003560,C
5003561,C
5003562,0
5003563,C
5003564,C
5003565,X
5003566,C
5003567,X
5003568,X
5003569,C
5003570,1
5003571,0
5003574,0
5003576,X
5003579,X
